##NAMES=Topaz
##RRUFFID=R040121
##IDEAL CHEMISTRY=Al_2_SiO_4_F_2_
##LOCALITY=Tepetate, San Luis Potosi, Mexico
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Fragments of a prismatic single crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R040121
##MEASURED CHEMISTRY=Al_2.00_(Si_0.99_Al_0.02_)(F_0.82_(OH)_0.18_)_2_
580.8286, 164.6953
582.7571, 146.4687
584.6855, 133.4170
586.6140, 128.5188
588.5425, 126.0606
590.4709, 122.7803
592.3994, 118.3505
594.3279, 116.0986
596.2563, 118.6877
598.1848, 122.6794
600.1133, 124.1734
602.0417, 120.6931
603.9702, 118.8237
605.8987, 121.3433
607.8271, 126.0550
609.7556, 128.5229
611.6841, 126.7702
613.6125, 124.8700
615.5410, 124.6424
617.4695, 126.3116
619.3979, 125.9834
621.3264, 120.4505
623.2549, 115.5506
625.1833, 114.9039
627.1118, 118.7398
629.0403, 123.3688
630.9688, 128.2300
632.8972, 133.4518
634.8257, 139.2016
636.7542, 145.0364
638.6826, 152.0415
640.6111, 162.2811
642.5396, 173.4924
644.4680, 181.9360
646.3965, 188.0365
648.3250, 189.9876
650.2534, 186.6532
652.1819, 177.9966
654.1104, 168.6299
656.0388, 156.9106
657.9673, 145.9866
659.8958, 137.7058
661.8242, 131.8848
663.7527, 126.6734
665.6812, 120.7878
667.6096, 116.0924
669.5381, 114.0179
671.4666, 116.9385
673.3950, 118.9993
675.3235, 119.9294
677.2520, 120.0427
679.1804, 119.6106
681.1089, 118.0519
683.0374, 117.4574
684.9658, 118.9348
686.8943, 121.8060
688.8228, 123.9855
690.7512, 125.0412
692.6797, 125.9246
694.6082, 127.3084
696.5366, 128.8092
698.4651, 128.7512
700.3936, 124.8338
702.3220, 121.9685
704.2505, 122.6119
706.1790, 127.6946
708.1074, 131.9547
710.0359, 136.3578
711.9644, 139.3525
713.8928, 139.2415
715.8213, 136.0282
717.7498, 132.6742
719.6782, 129.1561
721.6067, 126.1084
723.5352, 124.2478
725.4636, 125.1420
727.3921, 124.3955
729.3206, 119.3625
731.2490, 113.4071
733.1775, 111.9209
735.1060, 116.4307
737.0344, 120.5156
738.9629, 121.9099
740.8914, 121.6067
742.8198, 121.4186
744.7483, 121.5762
746.6768, 121.5764
748.6052, 121.3153
750.5337, 120.8107
752.4622, 120.1346
754.3906, 118.8488
756.3191, 118.0315
758.2476, 118.3224
760.1760, 119.5301
762.1045, 120.6602
764.0330, 122.6013
765.9614, 123.5228
767.8899, 122.0460
769.8184, 117.9211
771.7468, 115.6292
773.6753, 116.2142
775.6038, 117.6915
777.5322, 119.1139
779.4607, 120.4764
781.3892, 122.0457
783.3176, 124.2535
785.2461, 126.3735
787.1746, 128.0776
789.1030, 129.4032
791.0315, 130.0473
792.9600, 129.5665
794.8884, 128.7003
796.8169, 127.9043
798.7454, 127.1425
800.6738, 126.6896
802.6023, 125.2323
804.5308, 124.9743
806.4592, 128.0107
808.3877, 138.6602
810.3162, 145.3930
812.2446, 145.5857
814.1731, 143.2438
816.1016, 142.2417
818.0300, 142.3778
819.9585, 144.3314
821.8870, 149.9152
823.8154, 156.6967
825.7439, 162.1136
827.6724, 164.0471
829.6008, 168.2840
831.5293, 176.3427
833.4578, 186.4586
835.3862, 195.7104
837.3147, 202.8165
839.2432, 213.1458
841.1716, 228.5398
